,source,destination,mixed_string,semantic_proximity
399,Nose,Drum,DNemorsu,0.16906351547663753
798,Anchor,Drum,ADchmnorru,0.2472181278033366
799,Anchor,Nose,ANcehnoors,0.19155377327706327
1197,Shoulder,Drum,DSdehlmorruu,0.23586654330184917
1198,Shoulder,Nose,NSdeehloorsu,0.48926739409552333
1199,Shoulder,Anchor,AScdehhlnoorru,0.29278748659526804
1596,Spirit,Drum,DSiimprrtu,0.20876781644529402
1597,Spirit,Nose,NSeiioprst,0.2053356650366725
1598,Spirit,Anchor,ASchiinoprrt,0.1612056548278282
1599,Spirit,Shoulder,SSdehiiloprrtu,0.1634263830573815
1995,Book,Drum,BDkmooru,0.08891861457999448
1996,Book,Nose,BNekooos,0.11955615869136033
1997,Book,Anchor,ABchknooor,0.07908694402458501
1998,Book,Shoulder,BSdehkloooru,0.0799386298735459
1999,Book,Spirit,BSiikooprt,0.24342290276290304
2394,Kick,Drum,DKcikmru,0.33503203329045406
2395,Kick,Nose,KNceikos,0.3389011539117771
2396,Kick,Anchor,AKcchiknor,0.12482211788303103
2397,Kick,Shoulder,KScdehikloru,0.298049739433182
2398,Kick,Spirit,KSciiikprt,0.26056652666950575
2399,Kick,Book,BKcikkoo,0.13923282660549244
2793,Boss,Drum,BDmorssu,0.2071681103659874
2794,Boss,Nose,BNeoosss,0.20421276765273338
2795,Boss,Anchor,ABchnoorss,0.1663726478868655
2796,Boss,Shoulder,BSdehloorssu,0.20598452535732853
2797,Boss,Spirit,BSiioprsst,0.2265723825203572
2798,Boss,Book,BBkoooss,0.13720256191439312
2799,Boss,Kick,BKcikoss,0.3165618603402903
3192,Rope,Drum,DRemopru,0.29076428338596744
3193,Rope,Nose,NReeoops,0.274023404482424
3194,Rope,Anchor,ARcehnoopr,0.4510310813548536
3195,Rope,Shoulder,RSdeehloopru,0.40528744643860215
3196,Rope,Spirit,RSeiiopprt,0.17732830431833382
3197,Rope,Book,BRekooop,0.12231306498795713
3198,Rope,Kick,KRceikop,0.28424405048860024
3199,Rope,Boss,BReoopss,0.15072287987310679
3591,Avalanche,Drum,ADaacehlmnruv,0.08956484187023053
3592,Avalanche,Nose,ANaaceehlnosv,0.14640998562718324
3593,Avalanche,Anchor,AAaaccehhlnnorv,0.09152803581507027
3594,Avalanche,Shoulder,ASaacdeehhllnoruv,0.11139539911855297
3595,Avalanche,Spirit,ASaacehiilnprtv,0.08657296914374622
3596,Avalanche,Book,ABaacehklnoov,0.0736879072091494
3597,Avalanche,Kick,AKaaccehiklnv,0.12506919925225776
3598,Avalanche,Boss,ABaacehlnossv,0.06056750933770107
3599,Avalanche,Rope,ARaaceehlnopv,0.21005682932012232
3990,Sheet,Drum,DSeehmrtu,0.3426737968423021
3991,Sheet,Nose,NSeeehost,0.16190097299232353
3992,Sheet,Anchor,ASceehhnort,0.19199042093590798
